normal_index,level,grid,phase,geometric_area,sampled_area,absolute_sampling_error
12,4,8,0.875,1.0,1.0,0.0
13,1,1,0.125,0.25,0.0,0.25
13,1,1,0.5,0.25,0.0,0.25
13,1,1,0.875,0.25,0.0,0.25
13,1,4,0.125,0.25,0.1875,0.0625
13,1,4,0.5,0.25,0.25,0.0
13,1,4,0.875,0.25,0.3125,0.0625
13,1,8,0.125,0.25,0.21875,0.03125
13,1,8,0.5,0.25,0.25,0.0
13,1,8,0.875,0.25,0.28125,0.03125
13,2,1,0.125,0.5,0.0,0.5
13,2,1,0.5,0.5,0.0,0.5
13,2,1,0.875,0.5,1.0,0.5
13,2,4,0.125,0.5,0.4375,0.0625
13,2,4,0.5,0.5,0.5,0.0
13,2,4,0.875,0.5,0.5625,0.0625
13,2,8,0.125,0.5,0.46875,0.03125
13,2,8,0.5,0.5,0.5,0.0
13,2,8,0.875,0.5,0.53125,0.03125
13,3,1,0.125,0.75,1.0,0.25
13,3,1,0.5,0.75,1.0,0.25
13,3,1,0.875,0.75,1.0,0.25
13,3,4,0.125,0.75,0.6875,0.0625
13,3,4,0.5,0.75,0.75,0.0
13,3,4,0.875,0.75,0.8125,0.0625
13,3,8,0.125,0.75,0.71875,0.03125
13,3,8,0.5,0.75,0.75,0.0
13,3,8,0.875,0.75,0.78125,0.03125
13,4,1,0.125,1.0,1.0,0.0
13,4,1,0.5,1.0,1.0,0.0
13,4,1,0.875,1.0,1.0,0.0
13,4,4,0.125,1.0,1.0,0.0
13,4,4,0.5,1.0,1.0,0.0
13,4,4,0.875,1.0,1.0,0.0
13,4,8,0.125,1.0,1.0,0.0
13,4,8,0.5,1.0,1.0,0.0
13,4,8,0.875,1.0,1.0,0.0
14,1,1,0.125,0.25,0.0,0.25
14,1,1,0.5,0.25,0.0,0.25
14,1,1,0.875,0.25,0.0,0.25
14,1,4,0.125,0.25,0.1875,0.0625
14,1,4,0.5,0.25,0.1875,0.0625
14,1,4,0.875,0.25,0.1875,0.0625
14,1,8,0.125,0.25,0.234375,0.015625
14,1,8,0.5,0.25,0.234375,0.015625
14,1,8,0.875,0.25,0.234375,0.015625
14,2,1,0.125,0.5,0.0,0.5
14,2,1,0.5,0.5,0.0,0.5
14,2,1,0.875,0.5,1.0,0.5
14,2,4,0.125,0.5,0.5,0.0
14,2,4,0.5,0.5,0.5,0.0
14,2,4,0.875,0.5,0.5,0.0
14,2,8,0.125,0.5,0.5,0.0
14,2,8,0.5,0.5,0.5,0.0
14,2,8,0.875,0.5,0.5,0.0
14,3,1,0.125,0.75,1.0,0.25
14,3,1,0.5,0.75,1.0,0.25
14,3,1,0.875,0.75,1.0,0.25
14,3,4,0.125,0.75,0.8125,0.0625
14,3,4,0.5,0.75,0.8125,0.0625
14,3,4,0.875,0.75,0.8125,0.0625
14,3,8,0.125,0.75,0.765625,0.015625
14,3,8,0.5,0.75,0.765625,0.015625
14,3,8,0.875,0.75,0.765625,0.015625
14,4,1,0.125,1.0,1.0,0.0
14,4,1,0.5,1.0,1.0,0.0
14,4,1,0.875,1.0,1.0,0.0
14,4,4,0.125,1.0,1.0,0.0
14,4,4,0.5,1.0,1.0,0.0
14,4,4,0.875,1.0,1.0,0.0
14,4,8,0.125,1.0,1.0,0.0
14,4,8,0.5,1.0,1.0,0.0
14,4,8,0.875,1.0,1.0,0.0
15,1,1,0.125,0.25,0.0,0.25
15,1,1,0.5,0.25,0.0,0.25
15,1,1,0.875,0.25,0.0,0.25
15,1,4,0.125,0.25,0.3125,0.0625
15,1,4,0.5,0.25,0.25,0.0
15,1,4,0.875,0.25,0.1875,0.0625
15,1,8,0.125,0.25,0.28125,0.03125
15,1,8,0.5,0.25,0.25,0.0
15,1,8,0.875,0.25,0.21875,0.03125
15,2,1,0.125,0.5,1.0,0.5
15,2,1,0.5,0.5,0.0,0.5
15,2,1,0.875,0.5,0.0,0.5
15,2,4,0.125,0.5,0.5625,0.0625
15,2,4,0.5,0.5,0.5,0.0
15,2,4,0.875,0.5,0.4375,0.0625
15,2,8,0.125,0.5,0.53125,0.03125
15,2,8,0.5,0.5,0.5,0.0
15,2,8,0.875,0.5,0.46875,0.03125
15,3,1,0.125,0.75,1.0,0.25
15,3,1,0.5,0.75,1.0,0.25
15,3,1,0.875,0.75,1.0,0.25
15,3,4,0.125,0.75,0.8125,0.0625
15,3,4,0.5,0.75,0.75,0.0
15,3,4,0.875,0.75,0.6875,0.0625
15,3,8,0.125,0.75,0.78125,0.03125
15,3,8,0.5,0.75,0.75,0.0
15,3,8,0.875,0.75,0.71875,0.03125
15,4,1,0.125,1.0,1.0,0.0
15,4,1,0.5,1.0,1.0,0.0
15,4,1,0.875,1.0,1.0,0.0
15,4,4,0.125,1.0,1.0,0.0
15,4,4,0.5,1.0,1.0,0.0
15,4,4,0.875,1.0,1.0,0.0
15,4,8,0.125,1.0,1.0,0.0
15,4,8,0.5,1.0,1.0,0.0
15,4,8,0.875,1.0,1.0,0.0
