id,material,layout,seed,support_cells,workers,peak_depth,final_depth,grounded_ticks,max_overlap,floor_tick,sha256
player-018,19,flat,3,8,1,0.0,0.0,1768,0,-1,c1cee7226b2134271720245271d5a7f6e32839d1d00be6149f4298d77c191ae8
player-019,19,flat,4,8,1,0.0,0.0,1768,0,-1,31c8a30e06187ac85698e83c3b101ba6d1992ae6fdbc16a7e1330fe743223278
player-020,23,flat,0,8,1,0.0,0.0,1768,0,-1,08b752038c0aa4e24d1abc424e681c569f6f27db324879257f32f9c092711f10
player-021,23,flat,1,8,1,0.0,0.0,1768,0,-1,d146847893ef8c4e8c1726a5777d0006d7c608d772aece4016d73f53e9f1afcd
player-022,23,flat,2,8,1,0.0,0.0,1768,0,-1,534d8a0b7762318ddbdc417133ffdb38a5c3a6b598069cb91fbb184c3360293a
player-023,23,flat,3,8,1,0.0,0.0,1768,0,-1,1105c5c4c21b098f57f4ec6facd721ef1384e3ef7eccf004acbfa4aca97e5911
player-024,23,flat,4,8,1,0.0,0.0,1768,0,-1,80196471b14c5b9f650b806d9422c8ee1f746dddacbcfa6fadc3159c4aee9a9d
player-025,25,flat,0,8,1,0.0,0.0,1768,0,-1,5b7a7cd69e604ab3147e30e432d22239b8f11e39879565b5d94bac03001a60af
player-026,25,flat,1,8,1,0.0,0.0,1768,0,-1,f9c28d78bbeec8ef8540011170b669991fcb81dc9e130e3bdb24f7bbd027a8a1
player-027,25,flat,2,8,1,0.0,0.0,1768,0,-1,342715341e04e5979d82cfabbfeb5d45710ed81678677b5c3f4bd82cb59ce93a
player-028,25,flat,3,8,1,0.0,0.0,1768,0,-1,1ff980ccbe11e86091473a87e07cf62b45b93d2ef2a992dc8e41882be5522b55
player-029,25,flat,4,8,1,0.0,0.0,1768,0,-1,fed5808ef9e1c75a4961a76f8779c1a958365b46d818b92113ad71361f0df176
player-030,26,flat,0,8,1,0.0,0.0,1768,0,-1,5edbaa88179e93d7a5fe9e308b7aa19c6d8e907bba50e3baef0344981ed391ae
player-031,26,flat,1,8,1,0.0,0.0,1768,0,-1,697292edc6107a3db045a7ca17dbeaac795641238e7eeb6739b822b9afef7c5f
player-032,26,flat,2,8,1,0.0,0.0,1768,0,-1,7e04be41506448c1eed69d37e46efa01f733b6e988e40570d9fa32c2c3c57abb
